modulo,before_can_activate,after_can_activate,estado,acciones,evidencia
advertising,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
avisos_municipales,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
ayuda_vecinal,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
banco_tiempo,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
bares,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
biblioteca,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
bicicletas_compartidas,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
biodiversidad_local,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
campanias,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
carpooling,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
chat_estados,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
chat_grupos,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
chat_interno,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
circulos_cuidados,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
clientes,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
colectivos,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
compostaje,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
comunidades,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
contabilidad,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
crowdfunding,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
cursos,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
dex_solana,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
documentacion_legal,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
economia_don,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
economia_suficiencia,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
email_marketing,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
empresarial,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
encuestas,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
energia_comunitaria,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
espacios_comunes,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
eventos,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
facturas,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
fichaje_empleados,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
foros,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
grupos_consumo,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
huella_ecologica,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
huertos_urbanos,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
incidencias,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
justicia_restaurativa,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
kulturaka,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
mapa_actores,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
marketplace,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
multimedia,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
parkings,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
participacion,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
podcast,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
presupuestos_participativos,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
radio,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
recetas,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
reciclaje,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
red_social,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
reservas,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
saberes_ancestrales,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
seguimiento_denuncias,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
sello_conciencia,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
socios,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
talleres,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
themacle,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
trabajo_digno,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
trading_ia,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
tramites,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
transparencia,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
woocommerce,0,0,no_verificado_cli,,"Modo estático: no se pudo bootstrapear WordPress para crear/verificar tablas."
