module,base,frontend,install,views,templates,assets,forms,api,tabs,widgets
advertising,1,0,0,0,1,1,1,0,1,0
avisos-municipales,1,1,0,0,1,1,0,1,0,1
ayuda-vecinal,1,1,0,1,0,1,0,1,0,1
banco-tiempo,1,1,1,1,1,1,1,1,1,1
bares,1,0,0,0,0,0,0,0,1,0
biblioteca,1,1,0,1,1,1,0,1,1,1
bicicletas-compartidas,1,1,0,1,0,1,1,1,1,1
biodiversidad-local,1,1,0,0,1,1,0,0,1,1
campanias,1,1,0,1,0,1,0,0,1,0
carpooling,1,1,0,1,1,1,0,0,1,1
chat-estados,1,0,0,1,0,1,0,0,1,0
chat-grupos,1,0,0,0,0,1,0,0,1,0
chat-interno,1,0,0,0,0,1,0,0,1,0
circulos-cuidados,1,1,0,0,1,1,0,0,1,1
clientes,1,0,0,0,0,0,0,0,1,0
colectivos,1,1,0,1,0,1,0,0,1,1
compostaje,1,1,0,1,1,1,0,0,1,0
comunidades,1,1,0,1,0,1,0,0,1,1
cursos,1,1,1,1,1,1,0,1,1,1
dex-solana,1,0,1,0,0,0,1,1,1,0
documentacion-legal,1,1,0,1,0,1,0,0,0,0
economia-don,1,1,1,0,1,1,0,0,1,1
economia-suficiencia,1,0,0,0,1,1,0,0,1,1
email-marketing,1,0,1,1,1,1,0,1,1,0
empresarial,1,0,0,1,1,1,1,0,1,0
encuestas,1,0,0,0,1,1,0,1,1,1
espacios-comunes,1,1,1,1,1,1,0,1,1,1
eventos,1,1,1,1,1,1,1,1,1,1
facturas,1,0,0,0,0,1,1,1,1,0
fichaje-empleados,1,1,0,1,0,1,1,0,1,0
foros,1,1,0,1,0,1,1,0,1,1
grupos-consumo,1,0,1,1,1,1,0,1,1,1
huella-ecologica,1,0,0,0,1,1,0,0,1,1
huertos-urbanos,1,1,1,1,0,1,0,1,1,1
incidencias,1,1,1,1,1,1,0,1,1,1
justicia-restaurativa,1,1,0,0,1,1,0,0,1,1
mapa-actores,1,1,0,1,0,1,0,0,0,0
marketplace,1,1,1,1,0,1,0,1,1,1
multimedia,1,1,0,1,0,1,0,0,1,1
parkings,1,1,0,1,1,1,0,1,0,0
participacion,1,1,1,1,0,1,0,0,1,1
podcast,1,1,0,1,1,1,0,0,1,1
presupuestos-participativos,1,1,1,1,0,1,0,0,1,1
radio,1,1,0,1,0,1,0,0,1,1
recetas,1,1,0,0,1,1,1,0,0,0
reciclaje,1,1,0,1,1,1,0,1,1,1
red-social,1,0,0,1,1,1,0,0,1,0
reservas,1,1,1,1,0,1,0,0,1,1
saberes-ancestrales,1,1,0,0,1,1,0,0,1,1
seguimiento-denuncias,1,1,0,1,0,1,0,0,0,0
sello-conciencia,1,0,0,0,1,1,0,0,1,1
socios,1,1,1,1,0,1,1,1,1,1
talleres,1,1,1,1,1,1,1,1,1,1
themacle,1,0,0,0,0,0,0,0,0,0
trabajo-digno,1,1,0,0,1,1,0,0,1,1
trading-ia,1,0,1,0,0,0,1,0,1,0
tramites,1,1,0,1,1,1,0,1,1,1
transparencia,1,1,0,1,1,1,0,0,1,1
woocommerce,1,0,0,1,0,0,0,1,1,0
