file,line,href,severity,reason,snippet
templates/frontend/multimedia/single.php,29,#,ALTO,href_vacio,"<a href=""#"" class=""hover:text-indigo-600""><?php echo esc_html__('Inicio', 'flavor-chat-ia'); ?></a>"
templates/frontend/multimedia/single.php,31,#,ALTO,href_vacio,"<a href=""#"" class=""hover:text-indigo-600""><?php echo esc_html__('Multimedia', 'flavor-chat-ia'); ?></a>"
templates/frontend/multimedia/single.php,200,#,ALTO,href_vacio,"<a href=""#"" class=""flex gap-3 group"">"
templates/frontend/multimedia/single.php,209,#,ALTO,href_vacio,"<a href=""#"" class=""flex gap-3 group"">"
templates/frontend/multimedia/single.php,218,#,ALTO,href_vacio,"<a href=""#"" class=""flex gap-3 group"">"
templates/frontend/ayuda-vecinal/single.php,28,#,ALTO,href_vacio,"<a href=""#"" class=""hover:text-orange-600""><?php echo esc_html__('Inicio', 'flavor-chat-ia'); ?></a>"
templates/frontend/ayuda-vecinal/single.php,30,#,ALTO,href_vacio,"<a href=""#"" class=""hover:text-orange-600""><?php echo esc_html__('Ayuda Vecinal', 'flavor-chat-ia'); ?></a>"
templates/frontend/socios/archive.php,148,#,ALTO,href_vacio,"<li><a href=""#"" class=""px-3 py-2 text-gray-500 hover:text-rose-600 rounded-lg hover:bg-rose-50""><?php echo esc_html__('&laquo;', 'flavor-chat-ia'); ?></a></li>"
templates/frontend/socios/archive.php,149,#,ALTO,href_vacio,"<li><a href=""#"" class=""px-3 py-2 bg-rose-500 text-white rounded-lg font-medium"">1</a></li>"
templates/frontend/socios/archive.php,150,#,ALTO,href_vacio,"<li><a href=""#"" class=""px-3 py-2 text-gray-700 hover:text-rose-600 rounded-lg hover:bg-rose-50"">2</a></li>"
templates/frontend/socios/archive.php,151,#,ALTO,href_vacio,"<li><a href=""#"" class=""px-3 py-2 text-gray-700 hover:text-rose-600 rounded-lg hover:bg-rose-50"">3</a></li>"
templates/frontend/socios/archive.php,152,#,ALTO,href_vacio,"<li><a href=""#"" class=""px-3 py-2 text-gray-500 hover:text-rose-600 rounded-lg hover:bg-rose-50""><?php echo esc_html__('&raquo;', 'flavor-chat-ia'); ?></a></li>"
