href,url,class,text,http_status,result,title
#,http://localhost:10028,flavor-button flavor-button--primary flavor-menu__cta,Empezar,200,OK,sitio prueba
#,http://localhost:10028,flavor-cookie-banner__link,Más información,200,OK,sitio prueba
http://localhost:10028/,http://localhost:10028/,flavor-logo flavor-logo--default,sitio prueba,200,OK,sitio prueba
http://localhost:10028/mi-portal/avisos-municipales/,http://localhost:10028/mi-portal/avisos-municipales/,fl-btn fl-btn--primary fl-btn--sm,Ver más,200,OK,Avisos municipales - sitio prueba
http://localhost:10028/mi-portal/ayuda-vecinal/,http://localhost:10028/mi-portal/ayuda-vecinal/,fl-btn fl-btn--primary fl-btn--sm,Ver más,200,OK,Ayuda vecinal - sitio prueba
http://localhost:10028/mi-portal/banco-tiempo/,http://localhost:10028/mi-portal/banco-tiempo/,fl-btn fl-btn--primary fl-btn--sm,Ver más,200,OK,Banco tiempo - sitio prueba
http://localhost:10028/mi-portal/bares/,http://localhost:10028/mi-portal/bares/,fl-btn fl-btn--primary fl-btn--sm,Ver más,200,OK,Bares - sitio prueba
http://localhost:10028/mi-portal/biblioteca/,http://localhost:10028/mi-portal/biblioteca/,fl-btn fl-btn--primary fl-btn--sm,Ver más,200,OK,Biblioteca - sitio prueba
http://localhost:10028/mi-portal/bicicletas-compartidas/,http://localhost:10028/mi-portal/bicicletas-compartidas/,fl-btn fl-btn--primary fl-btn--sm,Ver más,200,OK,Bicicletas compartidas - sitio prueba
http://localhost:10028/mi-portal/carpooling/,http://localhost:10028/mi-portal/carpooling/,fl-btn fl-btn--primary fl-btn--sm,Ver más,200,OK,Carpooling - sitio prueba
http://localhost:10028/mi-portal/chat-grupos/,http://localhost:10028/mi-portal/chat-grupos/,fl-btn fl-btn--primary fl-btn--sm,Ver más,200,OK,Chat grupos - sitio prueba
http://localhost:10028/mi-portal/chat-interno/,http://localhost:10028/mi-portal/chat-interno/,fl-btn fl-btn--primary fl-btn--sm,Ver más,200,OK,Chat interno - sitio prueba
http://localhost:10028/mi-portal/clientes/,http://localhost:10028/mi-portal/clientes/,fl-btn fl-btn--primary fl-btn--sm,Ver más,200,OK,Clientes - sitio prueba
http://localhost:10028/mi-portal/colectivos/,http://localhost:10028/mi-portal/colectivos/,fl-btn fl-btn--primary fl-btn--sm,Ver más,200,OK,Colectivos - sitio prueba
http://localhost:10028/mi-portal/compostaje/,http://localhost:10028/mi-portal/compostaje/,fl-btn fl-btn--primary fl-btn--sm,Ver más,200,OK,Compostaje - sitio prueba
http://localhost:10028/mi-portal/comunidades/,http://localhost:10028/mi-portal/comunidades/,fl-btn fl-btn--primary fl-btn--sm,Ver más,200,OK,Comunidades - sitio prueba
http://localhost:10028/mi-portal/cursos/,http://localhost:10028/mi-portal/cursos/,fl-btn fl-btn--primary fl-btn--sm,Ver más,200,OK,Cursos - sitio prueba
http://localhost:10028/mi-portal/dex-solana/,http://localhost:10028/mi-portal/dex-solana/,fl-btn fl-btn--primary fl-btn--sm,Ver más,200,OK,Dex solana - sitio prueba
http://localhost:10028/mi-portal/empresarial/,http://localhost:10028/mi-portal/empresarial/,fl-btn fl-btn--primary fl-btn--sm,Ver más,200,OK,Empresarial - sitio prueba
http://localhost:10028/mi-portal/espacios-comunes/,http://localhost:10028/mi-portal/espacios-comunes/,fl-btn fl-btn--primary fl-btn--sm,Ver más,200,OK,Espacios comunes - sitio prueba
http://localhost:10028/mi-portal/eventos/,http://localhost:10028/mi-portal/eventos/,fl-btn fl-btn--primary fl-btn--sm,Ver más,200,OK,Eventos - sitio prueba
http://localhost:10028/mi-portal/fichaje-empleados/,http://localhost:10028/mi-portal/fichaje-empleados/,fl-btn fl-btn--primary fl-btn--sm,Ver más,200,OK,Fichaje empleados - sitio prueba
http://localhost:10028/mi-portal/grupos-consumo/,http://localhost:10028/mi-portal/grupos-consumo/,fl-btn fl-btn--primary fl-btn--sm,Ver más,200,OK,Grupos consumo - sitio prueba
http://localhost:10028/mi-portal/huertos-urbanos/,http://localhost:10028/mi-portal/huertos-urbanos/,fl-btn fl-btn--primary fl-btn--sm,Ver más,200,OK,Huertos urbanos - sitio prueba
http://localhost:10028/mi-portal/incidencias/,http://localhost:10028/mi-portal/incidencias/,fl-btn fl-btn--primary fl-btn--sm,Ver más,200,OK,Incidencias - sitio prueba
http://localhost:10028/mi-portal/marketplace/,http://localhost:10028/mi-portal/marketplace/,fl-btn fl-btn--primary fl-btn--sm,Ver más,200,OK,Marketplace - sitio prueba
http://localhost:10028/mi-portal/multimedia/,http://localhost:10028/mi-portal/multimedia/,fl-btn fl-btn--primary fl-btn--sm,Ver más,200,OK,Multimedia - sitio prueba
http://localhost:10028/mi-portal/parkings/,http://localhost:10028/mi-portal/parkings/,fl-btn fl-btn--primary fl-btn--sm,Ver más,200,OK,Parkings - sitio prueba
http://localhost:10028/mi-portal/participacion/,http://localhost:10028/mi-portal/participacion/,fl-btn fl-btn--primary fl-btn--sm,Ver más,200,OK,Participacion - sitio prueba
http://localhost:10028/mi-portal/podcast/,http://localhost:10028/mi-portal/podcast/,fl-btn fl-btn--primary fl-btn--sm,Ver más,200,OK,Podcast - sitio prueba
http://localhost:10028/mi-portal/presupuestos-participativos/,http://localhost:10028/mi-portal/presupuestos-participativos/,fl-btn fl-btn--primary fl-btn--sm,Ver más,200,OK,Presupuestos participativos - sitio prueba
http://localhost:10028/mi-portal/radio/,http://localhost:10028/mi-portal/radio/,fl-btn fl-btn--primary fl-btn--sm,Ver más,200,OK,Radio - sitio prueba
http://localhost:10028/mi-portal/reciclaje/,http://localhost:10028/mi-portal/reciclaje/,fl-btn fl-btn--primary fl-btn--sm,Ver más,200,OK,Reciclaje - sitio prueba
http://localhost:10028/mi-portal/reservas/,http://localhost:10028/mi-portal/reservas/,fl-btn fl-btn--primary fl-btn--sm,Ver más,200,OK,Reservas - sitio prueba
http://localhost:10028/mi-portal/socios/,http://localhost:10028/mi-portal/socios/,fl-btn fl-btn--primary fl-btn--sm,Ver más,200,OK,Socios - sitio prueba
http://localhost:10028/mi-portal/talleres/,http://localhost:10028/mi-portal/talleres/,fl-btn fl-btn--primary fl-btn--sm,Ver más,200,OK,Talleres - sitio prueba
http://localhost:10028/mi-portal/trading-ia/,http://localhost:10028/mi-portal/trading-ia/,fl-btn fl-btn--primary fl-btn--sm,Ver más,200,OK,Trading ia - sitio prueba
http://localhost:10028/mi-portal/tramites/,http://localhost:10028/mi-portal/tramites/,fl-btn fl-btn--primary fl-btn--sm,Ver más,200,OK,Tramites - sitio prueba
