case,ok,status,detail
WEB_HOME_200,PASS,200,"home reachable"
WEB_HOME_NO_PHP_NOTICE,FAIL,200,"notice detected in response body"
WEB_LOGIN_REDIRECT_ADMIN,PASS,302,"http://localhost:10028/wp-admin/"
WEB_ADMIN_DASHBOARD_VISIBLE,PASS,200,"dashboard markers present"
WEB_ADMIN_NO_DB_ERROR,PASS,200,"no db error"
API_PUBLIC_SITE_INFO_200,PASS,200,"{''success'':true,''name'':''sitio prueba'',''description'':'''',''logo_url'':'''',''favicon_url'':'''',''url'':''http:\/\/localhost:10028'',''api_url'':''http:\/\/localhost:10028\/wp-json\/chat-ia-mobile\/v1'',''api_version'':''"
API_ADMIN_NO_TOKEN_401,PASS,401,"{''code'':''rest_unauthorized'',''message'':''Token de autenticaci\u00f3n inv\u00e1lido o expirado'',''data'':{''status'':401}}"
API_LOGIN_INVALID_401,PASS,401,"{''code'':''invalid_credentials'',''message'':''Credenciales inv\u00e1lidas'',''data'':{''status'':401}}"
API_LOGIN_ADMIN_200,PASS,200,"{''success'':true,''token'':''eyJ1c2VyX2lkIjoxLCJhcHBfdHlwZSI6ImFkbWluIiwidHlwZSI6ImFjY2VzcyIsImlhdCI6MTc3MTI0NDYxMiwiZXhwIjoxNzcxMjQ4MjEyLCJpc3N1ZWRfYXQiOjE3NzEyNDQ2MTIsImV4cGlyZXNfYXQiOjE3NzEyNDgyMTJ9.112aec833d0b2dc7a1f03c"
API_VERIFY_TOKEN_200,PASS,200,"{''success'':true,''user'':{''id'':1,''name'':''Josu Irurtzun Argando\u00f1a'',''email'':''dev-email@wpengine.local'',''is_admin'':true}}"
API_ADMIN_DASH_WITH_TOKEN_200,PASS,200,"{''success'':true,''dashboard'':{''today'':{''date'':''2026-02-16'',''reservations'':0,''checkins'':0,''pending_checkins'':0},''week'':{''reservations'':0},''month'':{''revenue'':0,''formatted_revenue'':''0,00\u20ac''}}}"
API_REFRESH_TOKEN_200,PASS,200,"{''success'':true,''token'':''eyJ1c2VyX2lkIjoxLCJhcHBfdHlwZSI6ImFkbWluIiwidHlwZSI6ImFjY2VzcyIsImlhdCI6MTc3MTI0NDYxMywiZXhwIjoxNzcxMjQ4MjEzLCJpc3N1ZWRfYXQiOjE3NzEyNDQ2MTMsImV4cGlyZXNfYXQiOjE3NzEyNDgyMTN9.8fda641e78d1bb38f025da"
API_VERIFY_REFRESHED_TOKEN_200,PASS,200,"{''success'':true,''user'':{''id'':1,''name'':''Josu Irurtzun Argando\u00f1a'',''email'':''dev-email@wpengine.local'',''is_admin'':true}}"
API_ADMIN_INVALID_TOKEN_401,PASS,401,"{''code'':''rest_unauthorized'',''message'':''Token de autenticaci\u00f3n inv\u00e1lido o expirado'',''data'':{''status'':401}}"
