namespace,route,file
'flavor/v1',/themes,includes/themes/class-theme-manager.php
'flavor/v1',/themes/active,includes/themes/class-theme-manager.php
self::API_NAMESPACE,/directory,includes/network/class-network-api.php
self::API_NAMESPACE,/node/(?P<slug>[a-z0-9-]+),includes/network/class-network-api.php
self::API_NAMESPACE,/map,includes/network/class-network-api.php
self::API_NAMESPACE,/nearby,includes/network/class-network-api.php
self::API_NAMESPACE,/board,includes/network/class-network-api.php
self::API_NAMESPACE,/content,includes/network/class-network-api.php
self::API_NAMESPACE,/content/(?P<id>\d+),includes/network/class-network-api.php
self::API_NAMESPACE,/catalog/(?P<slug>[a-z0-9-]+),includes/network/class-network-api.php
self::API_NAMESPACE,/events,includes/network/class-network-api.php
self::API_NAMESPACE,/events/(?P<id>\d+),includes/network/class-network-api.php
self::API_NAMESPACE,/collaborations,includes/network/class-network-api.php
self::API_NAMESPACE,/collaborations/(?P<id>\d+),includes/network/class-network-api.php
self::API_NAMESPACE,/alerts,includes/network/class-network-api.php
self::API_NAMESPACE,/time-offers,includes/network/class-network-api.php
self::API_NAMESPACE,/node/(?P<slug>[a-zA-Z0-9_-]+)/qr,includes/network/class-network-api.php
self::API_NAMESPACE,/verify-seal/(?P<slug>[a-z0-9-]+),includes/network/class-network-api.php
self::API_NAMESPACE,/questions,includes/network/class-network-api.php
self::API_NAMESPACE,/questions/(?P<id>\d+),includes/network/class-network-api.php
self::API_NAMESPACE,/questions/(?P<id>\d+)/answers,includes/network/class-network-api.php
self::API_NAMESPACE,/stats,includes/network/class-network-api.php
$namespace,/,includes/frontend/class-frontend-controller-base.php
'app-discovery/v1',/businesses,includes/app-integration/class-business-directory.php
'app-discovery/v1',/businesses/verify,includes/app-integration/class-business-directory.php
self::API_NAMESPACE,/layouts/schema,includes/app-integration/class-app-layouts-api.php
self::API_NAMESPACE,/layouts/templates,includes/app-integration/class-app-layouts-api.php
self::API_NAMESPACE,/layouts/templates/(?P<template_id>[a-z0-9_-]+),includes/app-integration/class-app-layouts-api.php
self::API_NAMESPACE,/layouts/landing/(?P<id>\d+),includes/app-integration/class-app-layouts-api.php
self::API_NAMESPACE,/layouts/landing/slug/(?P<slug>[a-z0-9-]+),includes/app-integration/class-app-layouts-api.php
self::API_NAMESPACE,/layouts/module/(?P<module_id>[a-z0-9_-]+),includes/app-integration/class-app-layouts-api.php
self::API_NAMESPACE,/layouts/components,includes/app-integration/class-app-layouts-api.php
self::API_NAMESPACE,/layouts/component-data/(?P<component_id>[a-z0-9_-]+),includes/app-integration/class-app-layouts-api.php
'app-discovery/v1',/info,includes/app-integration/class-app-integration.php
'app-discovery/v1',/modules,includes/app-integration/class-app-integration.php
'app-discovery/v1',/theme,includes/app-integration/class-app-integration.php
'app-discovery/v1',/layouts,includes/app-integration/class-app-integration.php
'unified-api/v1',/chat,includes/app-integration/class-app-integration.php
'unified-api/v1',/site-info,includes/app-integration/class-app-integration.php
$namespace,/modules/{$module_id}/items,includes/app-integration/trait-app-data-provider.php
